hashtag;timestamp;cnt;followers_count;log_followers_count
mcdonalds;2018-06-08 16:00:00;46;84332;252.989264030235
mcdonalds;2018-06-08 17:00:00;27;31576;149.958896464527
mcdonalds;2018-06-08 18:00:00;24;38489;122.38186297752506
mcdonalds;2018-06-08 19:00:00;29;44722;169.87282535504926
mcdonalds;2018-06-08 20:00:00;45;104098;259.35066168773653
mcdonalds;2018-06-08 21:00:00;33;56888;205.59787768436806
mcdonalds;2018-06-08 22:00:00;34;100429;193.7307279260675
mcdonalds;2018-06-08 23:00:00;24;8658;104.85504957978017
mcdonalds;2018-06-09 00:00:00;15;90905;92.75305556083819
mcdonalds;2018-06-09 01:00:00;13;9308;59.71306694363156
mcdonalds;2018-06-09 02:00:00;15;7727;80.55614201831426
mcdonalds;2018-06-09 03:00:00;15;38523;66.46514618911662
mcdonalds;2018-06-09 04:00:00;33;22221;162.95634997501747
mcdonalds;2018-06-09 05:00:00;4;126;10.90301588298034
microsoft;2018-06-05 20:00:00;39;286251;225.53008299847565
microsoft;2018-06-05 21:00:00;294;1622653;1711.8646873690172
microsoft;2018-06-05 22:00:00;24;139819;137.5098361002892
microsoft;2018-06-05 23:00:00;0;0;0.0
microsoft;2018-06-06 00:00:00;0;0;0.0
microsoft;2018-06-06 01:00:00;0;0;0.0
microsoft;2018-06-06 02:00:00;0;0;0.0
microsoft;2018-06-06 03:00:00;0;0;0.0
microsoft;2018-06-06 04:00:00;128;294301;734.1963772291402
microsoft;2018-06-06 05:00:00;207;445866;1253.188693454091
microsoft;2018-06-06 06:00:00;285;1191831;1745.2810202296039
microsoft;2018-06-06 07:00:00;305;2653380;1944.9505468032273
microsoft;2018-06-06 08:00:00;344;2280901;2199.89163879087
microsoft;2018-06-06 09:00:00;265;1177259;1563.2166685378986
microsoft;2018-06-06 10:00:00;293;2281257;1751.0535362083967
microsoft;2018-06-06 11:00:00;351;1547578;2110.6897465618504
microsoft;2018-06-06 12:00:00;393;1933415;2267.259107638018
microsoft;2018-06-06 13:00:00;446;2648309;2445.3009796512547
microsoft;2018-06-06 14:00:00;394;1316242;2370.81140184154
microsoft;2018-06-06 15:00:00;382;801712;2100.9594316860216
microsoft;2018-06-06 16:00:00;402;663392;2132.0780925861504
microsoft;2018-06-06 17:00:00;418;2841172;2459.367994105541
microsoft;2018-06-06 18:00:00;366;1682045;1947.6134460389478
microsoft;2018-06-06 19:00:00;346;1109006;1946.5749298246185
microsoft;2018-06-06 20:00:00;353;1006115;1859.1398411687273
microsoft;2018-06-06 21:00:00;289;1182854;1648.221907404495
microsoft;2018-06-06 22:00:00;193;550316;972.5878177846475
microsoft;2018-06-06 23:00:00;207;2160206;1146.8284054934263
microsoft;2018-06-07 00:00:00;218;8874848;1142.4919285614978
microsoft;2018-06-07 01:00:00;151;797779;737.3005602007296
microsoft;2018-06-07 02:00:00;162;1049897;819.1620297471628
